STATSB,OPHOLD,TID,INDHOLD
Papua New Guinea,"Study etc., education",2025M05,1
Russia,"Study etc., other reasons",2025M05,1
Ukraine,"Study etc., education",2025M05,1
Ukraine,"Study etc., other reasons",2025M05,4
Belarus,"Study etc., education",2025M05,1
Armenia,"Study etc., education",2025M05,1
Uzbekistan,"Study etc., interns",2025M05,10
Kyrgyzstan,"Study etc., interns",2025M05,3
Georgia,"Study etc., education",2025M05,1
Serbia,"Study etc., education",2025M05,1
Serbia,"Study etc., other reasons",2025M05,1
Stateless,"Study etc., other reasons",2025M06,1
United Kingdom,"Study etc., education",2025M06,19
United Kingdom,"Study etc., interns",2025M06,1
United Kingdom,"Study etc., other reasons",2025M06,1
Turkey,"Study etc., education",2025M06,11
Turkey,"Study etc., interns",2025M06,3
Turkey,"Study etc., other reasons",2025M06,7
"Gambia, The","Study etc., education",2025M06,1
Ghana,"Study etc., education",2025M06,10
Ghana,"Study etc., interns",2025M06,4
Ghana,"Study etc., other reasons",2025M06,1
Kenya,"Study etc., education",2025M06,6
Kenya,"Study etc., au pair",2025M06,5
Kenya,"Study etc., interns",2025M06,14
Madagascar,"Study etc., au pair",2025M06,1
Morocco,"Study etc., education",2025M06,2
Nigeria,"Study etc., education",2025M06,2
Eswatini,"Study etc., education",2025M06,1
South Africa,"Study etc., education",2025M06,4
South Africa,"Study etc., interns",2025M06,6
Tanzania,"Study etc., interns",2025M06,30
Tunisia,"Study etc., education",2025M06,1
Uganda,"Study etc., interns",2025M06,59
Egypt,"Study etc., education",2025M06,3
Egypt,"Study etc., other reasons",2025M06,5
Cameroon,"Study etc., education",2025M06,5
Cameroon,"Study etc., interns",2025M06,1
Cameroon,"Study etc., other reasons",2025M06,4
"Congo, Democratic Republic","Study etc., other reasons",2025M06,2
Benin,"Study etc., education",2025M06,1
Zambia,"Study etc., education",2025M06,2
Argentina,"Study etc., education",2025M06,1
Bolivia,"Study etc., other reasons",2025M06,1
Brazil,"Study etc., education",2025M06,7
Brazil,"Study etc., au pair",2025M06,2
Brazil,"Study etc., interns",2025M06,9
Brazil,"Study etc., other reasons",2025M06,1
Canada,"Study etc., education",2025M06,43
Canada,"Study etc., other reasons",2025M06,3
Chile,"Study etc., education",2025M06,4
Colombia,"Study etc., education",2025M06,12
Ecuador,"Study etc., education",2025M06,2
Guatemala,"Study etc., education",2025M06,1
Honduras,"Study etc., education",2025M06,1
Honduras,"Study etc., interns",2025M06,1
Mexico,"Study etc., education",2025M06,36
Mexico,"Study etc., interns",2025M06,3
Paraguay,"Study etc., education",2025M06,1
Peru,"Study etc., education",2025M06,5
Uruguay,"Study etc., education",2025M06,1
USA,"Study etc., education",2025M06,69
USA,"Study etc., interns",2025M06,18
USA,"Study etc., other reasons",2025M06,9
Venezuela,"Study etc., au pair",2025M06,1
Philippines,"Study etc., au pair",2025M09,18
Philippines,"Study etc., interns",2025M09,9
Singapore,"Study etc., education",2025M09,8
South Korea,"Study etc., education",2025M09,25
South Korea,"Study etc., interns",2025M09,2
South Korea,"Study etc., other reasons",2025M09,4
Syria,"Study etc., interns",2025M09,1
Thailand,"Study etc., interns",2025M09,1
Thailand,"Study etc., other reasons",2025M09,2
Australia,"Study etc., education",2025M09,18
Australia,"Study etc., interns",2025M09,3
Australia,"Study etc., other reasons",2025M09,15
New Zealand,"Study etc., education",2025M09,3
New Zealand,"Study etc., other reasons",2025M09,3
Russia,"Study etc., education",2025M09,3
Ukraine,"Study etc., education",2025M09,9
Ukraine,"Study etc., other reasons",2025M09,3
Belarus,"Study etc., education",2025M09,1
Armenia,"Study etc., education",2025M09,3
Azerbaijan,"Study etc., education",2025M09,1
Azerbaijan,"Study etc., interns",2025M09,1
Uzbekistan,"Study etc., interns",2025M09,10
Uzbekistan,"Study etc., other reasons",2025M09,2
Georgia,"Study etc., education",2025M09,3
Serbia,"Study etc., education",2025M09,1
Stateless,"Study etc., other reasons",2025M09,2
Albania,"Study etc., education",2025M09,2
Andorra,"Study etc., education",2025M09,1
United Kingdom,"Study etc., education",2025M09,25
United Kingdom,"Study etc., other reasons",2025M09,1
Turkey,"Study etc., education",2025M09,4
Turkey,"Study etc., interns",2025M09,2
Turkey,"Study etc., other reasons",2025M09,9
Algeria,"Study etc., education",2025M09,1
Algeria,"Study etc., other reasons",2025M09,1
Ethiopia,"Study etc., interns",2025M09,1
Ghana,"Study etc., education",2025M09,1
Kenya,"Study etc., education",2025M09,1
Kenya,"Study etc., au pair",2025M09,1
Kenya,"Study etc., interns",2025M09,5
Morocco,"Study etc., education",2025M09,3
Nigeria,"Study etc., education",2025M09,3
Nigeria,"Study etc., other reasons",2025M09,6
South Africa,"Study etc., education",2025M09,1
South Africa,"Study etc., interns",2025M09,18
Tanzania,"Study etc., interns",2025M09,16
Tunisia,"Study etc., education",2025M09,1
Uganda,"Study etc., education",2025M09,2
Uganda,"Study etc., interns",2025M09,41
Egypt,"Study etc., education",2025M09,7
Egypt,"Study etc., other reasons",2025M09,1
Cameroon,"Study etc., education",2025M09,12
